il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
HATAY,ALTIN÷Z‹,24115,6056,,,,,,,,,
HATAY,ANTAKYA,108092,93509,,,,,,,,,
HATAY,ARSUZ,12201,40212,,,,,,,,,
HATAY,BELEN,11473,7962,,,,,,,,,
HATAY,DEFNE,5768,83209,,,,,,,,,
HATAY,D÷RTYOL,33792,35133,,,,,,,,,
HATAY,ERZ›N,10256,13987,,,,,,,,,
HATAY,HASSA,20981,8434,,,,,,,,,
HATAY,›SKENDERUN,65504,82010,,,,,,,,,
HATAY,KIRIKHAN,44144,17520,,,,,,,,,
HATAY,KUMLU,4207,2433,,,,,,,,,
HATAY,PAYAS,13433,10187,,,,,,,,,
HATAY,REYHANLI,30574,10979,,,,,,,,,
HATAY,SAMANDA–,5138,61297,,,,,,,,,
HATAY,YAYLADA–I,11727,5050,,,,,,,,,
I–DIR,,30817,57736,,,,,,,,,
I–DIR,ARALIK,4420,5413,,,,,,,,,
I–DIR,KARAKOYUNLU,2800,3967,,,,,,,,,
I–DIR,MERKEZ,19666,41858,,,,,,,,,
I–DIR,TUZLUCA,3931,6498,,,,,,,,,
ISPARTA,,148837,116866,,,,,,,,,
ISPARTA,AKSU,1761,1307,,,,,,,,,
ISPARTA,ATABEY,2113,1681,,,,,,,,,
ISPARTA,E–›RD›R,12367,8351,,,,,,,,,
ISPARTA,GELENDOST,4937,5096,,,,,,,,,
ISPARTA,G÷NEN,2391,2720,,,,,,,,,
ISPARTA,KE«›BORLU,5289,4480,,,,,,,,,
ISPARTA,MERKEZ,81545,67339,,,,,,,,,
ISPARTA,SEN›RKENT,3852,3693,,,,,,,,,
ISPARTA,S‹T«‹LER,5572,1472,,,,,,,,,
ISPARTA,ﬁARK›KARAA–A«,9364,6943,,,,,,,,,
ISPARTA,ULUBORLU,2260,2043,,,,,,,,,
ISPARTA,YALVA«,16650,11036,,,,,,,,,
ISPARTA,YEN›ﬁARBADEML›,736,705,,,,,,,,,
›STANBUL,,4479196,4728584,,,,,,,,,
›STANBUL,ADALAR,2646,7402,,,,,,,,,
›STANBUL,ARNAVUTK÷Y,92067,46036,,,,,,,,,
›STANBUL,ATAﬁEH›R,116782,157521,,,,,,,,,
›STANBUL,AVCILAR,108172,156039,,,,,,,,,
›STANBUL,BA–CILAR,270469,172518,,,,,,,,,
›STANBUL,BAH«EL›EVLER,189448,186937,,,,,,,,,
›STANBUL,BAKIRK÷Y,33356,116923,,,,,,,,,
›STANBUL,BAﬁAKﬁEH›R,112719,96524,,,,,,,,,
›STANBUL,BAYRAMPAﬁA,94229,83241,,,,,,,,,
›STANBUL,BEﬁ›KTAﬁ,21932,106408,,,,,,,,,
›STANBUL,BEYKOZ,86745,76673,,,,,,,,,
›STANBUL,BEYL›KD‹Z‹,76537,109648,,,,,,,,,
›STANBUL,BEYO–LU,74062,73738,,,,,,,,,
›STANBUL,B‹Y‹K«EKMECE,64990,81738,,,,,,,,,
›STANBUL,«ATALCA,18558,28127,,,,,,,,,
›STANBUL,«EKMEK÷Y,76699,69741,,,,,,,,,
›STANBUL,ESENLER,182844,92394,,,,,,,,,
›STANBUL,ESENYURT,209980,231860,,,,,,,,,
›STANBUL,EY‹PSULTAN,116399,123812,,,,,,,,,
›STANBUL,FAT›H,127324,120505,,,,,,,,,
›STANBUL,GAZ›OSMANPAﬁA,174292,131917,,,,,,,,,
›STANBUL,G‹NG÷REN,101354,86935,,,,,,,,,
›STANBUL,KADIK÷Y,63481,263814,,,,,,,,,
›STANBUL,KA–ITHANE,151079,128375,,,,,,,,,
›STANBUL,KARTAL,133637,173927,,,,,,,,,
›STANBUL,K‹«‹K«EKMECE,209666,262995,,,,,,,,,
›STANBUL,MALTEPE,125816,201778,,,,,,,,,
›STANBUL,PEND›K,244534,183089,,,,,,,,,
›STANBUL,SANCAKTEPE,117273,109484,,,,,,,,,
›STANBUL,SARIYER,89798,129805,,,,,,,,,
›STANBUL,S›L›VR›,43357,64627,,,,,,,,,
›STANBUL,SULTANBEYL›,129753,54313,,,,,,,,,
›STANBUL,SULTANGAZ›,188862,118638,,,,,,,,,
›STANBUL,ﬁ›LE,11885,11230,,,,,,,,,
›STANBUL,ﬁ›ﬁL›,50347,128142,,,,,,,,,
›STANBUL,TUZLA,76019,74043,,,,,,,,,
›STANBUL,‹MRAN›YE,239455,194275,,,,,,,,,
›STANBUL,‹SK‹DAR,167746,191499,,,,,,,,,
›STANBUL,ZEYT›NBURNU,84884,81913,,,,,,,,,
›ZM›R,,870681,1919828,,,,,,,,,
›ZM›R,AL›A–A,19538,37278,,,,,,,,,
›ZM›R,BAL«OVA,11722,42819,,,,,,,,,
›ZM›R,BAYINDIR,10032,16696,,,,,,,,,
›ZM›R,BAYRAKLI,71806,136868,,,,,,,,,
›ZM›R,BERGAMA,28620,41967,,,,,,,,,
›ZM›R,BEYDA–,2743,5941,,,,,,,,,
›ZM›R,BORNOVA,90720,196364,,,,,,,,,
›ZM›R,BUCA,104066,203955,,,,,,,,,
›ZM›R,«EﬁME,6320,20176,,,,,,,,,
›ZM›R,«›–L›,33835,92784,,,,,,,,,
›ZM›R,D›K›L›,6702,22088,,,,,,,,,
›ZM›R,FO«A,3781,13949,,,,,,,,,
›ZM›R,GAZ›EM›R,27730,58875,,,,,,,,,
›ZM›R,G‹ZELBAH«E,3659,16467,,,,,,,,,
›ZM›R,KARABA–LAR,111179,203161,,,,,,,,,
›ZM›R,KARABURUN,1862,5061,,,,,,,,,
›ZM›R,KARﬁIYAKA,40881,202503,,,,,,,,,
›ZM›R,KEMALPAﬁA,31705,35532,,,,,,,,,
›ZM›R,KINIK,6771,11756,,,,,,,,,
›ZM›R,K›RAZ,13003,15273,,,,,,,,,
›ZM›R,KONAK,66377,176133,,,,,,,,,
›ZM›R,MENDERES,21086,35888,,,,,,,,,
›ZM›R,MENEMEN,32918,68477,,,,,,,,,
›ZM›R,NARLIDERE,6719,37961,,,,,,,,,
›ZM›R,÷DEM›ﬁ,34659,54098,,,,,,,,,
›ZM›R,SEFER›H›SAR,7314,17665,,,,,,,,,
›ZM›R,SEL«UK,6537,17762,,,,,,,,,
›ZM›R,T›RE,20364,34904,,,,,,,,,
›ZM›R,TORBALI,39234,63897,,,,,,,,,
›ZM›R,URLA,8798,33530,,,,,,,,,
KAHRAMANMARAﬁ,,458349,161395,,,,,,,,,
KAHRAMANMARAﬁ,AFﬁ›N,30143,12671,,,,,,,,,
KAHRAMANMARAﬁ,ANDIRIN,13617,6974,,,,,,,,,
KAHRAMANMARAﬁ,«A–LAYANCER›T,8096,4855,,,,,,,,,
KAHRAMANMARAﬁ,DULKAD›RO–LU,102125,21811,,,,,,,,,
KAHRAMANMARAﬁ,EK›N÷Z‹,4321,2590,,,,,,,,,
KAHRAMANMARAﬁ,ELB›STAN,47580,28993,,,,,,,,,
KAHRAMANMARAﬁ,G÷KSUN,21329,7664,,,,,,,,,
KAHRAMANMARAﬁ,NURHAK,2597,4327,,,,,,,,,
KAHRAMANMARAﬁ,ON›K›ﬁUBAT,178357,45257,,,,,,,,,
KAHRAMANMARAﬁ,PAZARCIK,20182,18026,,,,,,,,,
KAHRAMANMARAﬁ,T‹RKO–LU,30002,8227,,,,,,,,,
KARAB‹K,,89031,57581,,,,,,,,,
KARAB‹K,EFLAN›,3926,1263,,,,,,,,,
KARAB‹K,ESK›PAZAR,5792,2112,,,,,,,,,
KARAB‹K,MERKEZ,49051,30136,,,,,,,,,
KARAB‹K,OVACIK,1599,633,,,,,,,,,
KARAB‹K,SAFRANBOLU,20901,17562,,,,,,,,,
KARAB‹K,YEN›CE,7762,5875,,,,,,,,,
KARAMAN,,94289,53386,,,,,,,,,
KARAMAN,AYRANCI,3055,2223,,,,,,,,,
KARAMAN,BAﬁYAYLA,1749,454,,,,,,,,,
KARAMAN,ERMENEK,9098,8514,,,,,,,,,
KARAMAN,KAZIMKARABEK›R,1825,859,,,,,,,,,
KARAMAN,MERKEZ,75204,38091,,,,,,,,,
KARAMAN,SARIVEL›LER,3358,3245,,,,,,,,,
KARS,,70922,68264,,,,,,,,,
KARS,AKYAKA,3104,2325,,,,,,,,,
KARS,ARPA«AY,5395,3835,,,,,,,,,
KARS,D›GOR,2867,7130,,,,,,,,,
KARS,KA–IZMAN,12181,8721,,,,,,,,,
KARS,MERKEZ,23843,32794,,,,,,,,,
KARS,SARIKAMIﬁ,13317,6080,,,,,,,,,
KARS,SEL›M,7718,4220,,,,,,,,,
KARS,SUSUZ,2497,3159,,,,,,,,,
KASTAMONU,,147530,80078,,,,,,,,,
KASTAMONU,ABANA,1538,935,,,,,,,,,
KASTAMONU,A–LI,1352,462,,,,,,,,,
KASTAMONU,ARA«,8057,3982,,,,,,,,,
KASTAMONU,AZDAVAY,2446,2070,,,,,,,,,
KASTAMONU,BOZKURT,4315,1474,,,,,,,,,
KASTAMONU,C›DE,8345,4669,,,,,,,,,
KASTAMONU,«ATALZEYT›N,2729,1105,,,,,,,,,
KASTAMONU,DADAY,3036,2705,,,,,,,,,
KASTAMONU,DEVREKAN›,5332,2477,,,,,,,,,
KASTAMONU,DO–ANYURT,2551,693,,,,,,,,,
KASTAMONU,HAN÷N‹,1444,1116,,,,,,,,,
KASTAMONU,›HSANGAZ›,2652,978,,,,,,,,,
KASTAMONU,›NEBOLU,8706,3838,,,,,,,,,
KASTAMONU,K‹RE,2320,1170,,,,,,,,,
KASTAMONU,MERKEZ,49485,35388,,,,,,,,,
KASTAMONU,PINARBAﬁI,2127,1084,,,,,,,,,
KASTAMONU,SEYD›LER,1642,899,,,,,,,,,
KASTAMONU,ﬁENPAZAR,2047,745,,,,,,,,,
KASTAMONU,TAﬁK÷PR‹,15989,8403,,,,,,,,,
KASTAMONU,TOSYA,21417,5885,,,,,,,,,
KAYSER›,,557397,265239,,,,,,,,,
KAYSER›,AKKIﬁLA,2239,1865,,,,,,,,,
KAYSER›,B‹NYAN,11147,5197,,,,,,,,,
KAYSER›,DEVEL›,29279,9451,,,,,,,,,
KAYSER›,FELAH›YE,1923,1292,,,,,,,,,
KAYSER›,HACILAR,6855,1388,,,,,,,,,
KAYSER›,›NCESU,10690,4497,,,,,,,,,
KAYSER›,KOCAS›NAN,161221,77618,,,,,,,,,
KAYSER›,MEL›KGAZ›,228598,104684,,,,,,,,,
KAYSER›,÷ZVATAN,1699,861,,,,,,,,,
KAYSER›,PINARBAﬁI,7590,5955,,,,,,,,,
KAYSER›,SARIO–LAN,5613,2973,,,,,,,,,
KAYSER›,SARIZ,3124,2682,,,,,,,,,
KAYSER›,TALAS,51971,35192,,,,,,,,,
KAYSER›,TOMARZA,10027,3783,,,,,,,,,
KAYSER›,YAHYALI,18801,3868,,,,,,,,,
KAYSER›,YEﬁ›LH›SAR,6620,3933,,,,,,,,,
KIRIKKALE,,103784,62478,,,,,,,,,
KIRIKKALE,BAHﬁ›L›,3206,1211,,,,,,,,,
KIRIKKALE,BALIﬁEYH,2413,1290,,,,,,,,,
KIRIKKALE,«ELEB›,1077,403,,,,,,,,,
KIRIKKALE,DEL›CE,3639,1994,,,,,,,,,
KIRIKKALE,KARAKE«›L›,1692,471,,,,,,,,,
KIRIKKALE,KESK›N,6922,4021,,,,,,,,,
KIRIKKALE,MERKEZ,76129,46926,,,,,,,,,
KIRIKKALE,SULAKYURT,2547,1813,,,,,,,,,
KIRIKKALE,YAHﬁ›HAN,6159,4349,,,,,,,,,
KIRKLAREL›,,68552,170574,,,,,,,,,
KIRKLAREL›,BABAESK›,7767,26493,,,,,,,,,
KIRKLAREL›,DEM›RK÷Y,2455,3048,,,,,,,,,
KIRKLAREL›,KOF«AZ,657,1169,,,,,,,,,
KIRKLAREL›,L‹LEBURGAZ,27310,73417,,,,,,,,,
KIRKLAREL›,MERKEZ,20316,41149,,,,,,,,,
KIRKLAREL›,PEHL›VANK÷Y,810,2031,,,,,,,,,
KIRKLAREL›,PINARH›SAR,3933,9007,,,,,,,,,
KIRKLAREL›,V›ZE,5304,14260,,,,,,,,,
KIRﬁEH›R,,72363,63520,,,,,,,,,
KIRﬁEH›R,AK«AKENT,2011,555,,,,,,,,,
KIRﬁEH›R,AKPINAR,2916,1871,,,,,,,,,
KIRﬁEH›R,BOZTEPE,1578,2093,,,,,,,,,
KIRﬁEH›R,«›«EKDA–I,6483,2653,,,,,,,,,
KIRﬁEH›R,KAMAN,11264,9937,,,,,,,,,
KIRﬁEH›R,MERKEZ,41104,41383,,,,,,,,,
KIRﬁEH›R,MUCUR,7007,5028,,,,,,,,,
K›L›S,,44461,24912,,,,,,,,,
K›L›S,ELBEYL›,1910,1082,,,,,,,,,
K›L›S,MERKEZ,34818,21667,,,,,,,,,
K›L›S,MUSABEYL›,5757,1333,,,,,,,,,
K›L›S,POLATEL›,1976,830,,,,,,,,,
KOCAEL›,,650336,496928,,,,,,,,,
KOCAEL›,BAﬁ›SKELE,37948,18826,,,,,,,,,
KOCAEL›,«AYIROVA,44402,29881,,,,,,,,,
KOCAEL›,DARICA,67870,50066,,,,,,,,,
KOCAEL›,DER›NCE,46970,42616,,,,,,,,,
KOCAEL›,D›LOVASI,15478,10050,,,,,,,,,
KOCAEL›,GEBZE,134233,88932,,,,,,,,,
KOCAEL›,G÷LC‹K,55016,45733,,,,,,,,,
KOCAEL›,›ZM›T,111096,111921,,,,,,,,,
KOCAEL›,KANDIRA,20021,12276,,,,,,,,,
KOCAEL›,KARAM‹RSEL,20316,15540,,,,,,,,,
KOCAEL›,KARTEPE,44351,26312,,,,,,,,,
KOCAEL›,K÷RFEZ,52635,44775,,,,,,,,,
KONYA,,928599,345610,,,,,,,,,
KONYA,AHIRLI,2014,854,,,,,,,,,
KONYA,AK÷REN,2973,888,,,,,,,,,
KONYA,AKﬁEH›R,34289,23890,,,,,,,,,
KONYA,ALTINEK›N,7652,1171,,,,,,,,,
KONYA,BEYﬁEH›R,31518,12769,,,,,,,,,
KONYA,BOZKIR,11873,4444,,,,,,,,,
KONYA,C›HANBEYL›,16662,10923,,,,,,,,,
KONYA,«ELT›K,4037,1714,,,,,,,,,
KONYA,«UMRA,31833,8394,,,,,,,,,
KONYA,DERBENT,2024,918,,,,,,,,,
KONYA,DEREBUCAK,2656,1093,,,,,,,,,
KONYA,DO–ANH›SAR,7106,3978,,,,,,,,,
KONYA,EM›RGAZ›,2896,1714,,,,,,,,,
KONYA,ERE–L›,45109,40289,,,,,,,,,
KONYA,G‹NEYSINIR,5609,657,,,,,,,,,
KONYA,HAD›M,5757,1989,,,,,,,,,
KONYA,HALKAPINAR,2051,730,,,,,,,,,
KONYA,H‹Y‹K,6664,3854,,,,,,,,,
KONYA,ILGIN,22982,11612,,,,,,,,,
KONYA,KADINHANI,15591,3602,,,,,,,,,
KONYA,KARAPINAR,18693,10098,,,,,,,,,
KONYA,KARATAY,149578,27106,,,,,,,,,
KONYA,KULU,16418,7391,,,,,,,,,
KONYA,MERAM,164286,41653,,,,,,,,,
KONYA,SARAY÷N‹,13372,3049,,,,,,,,,
KONYA,SEL«UKLU,264841,98227,,,,,,,,,
KONYA,SEYD›ﬁEH›R,24463,16798,,,,,,,,,
KONYA,TAﬁKENT,2870,1034,,,,,,,,,
KONYA,TUZLUK«U,2437,1786,,,,,,,,,
KONYA,YALIH‹Y‹K,809,199,,,,,,,,,
KONYA,YUNAK,9536,2786,,,,,,,,,
K‹TAHYA,,261275,110314,,,,,,,,,
K‹TAHYA,ALTINTAﬁ,7704,2717,,,,,,,,,
K‹TAHYA,ASLANAPA,5933,931,,,,,,,,,
K‹TAHYA,«AVDARH›SAR,3429,1344,,,,,,,,,
K‹TAHYA,DOMAN›«,7113,3374,,,,,,,,,
K‹TAHYA,DUMLUPINAR,1326,595,,,,,,,,,
K‹TAHYA,EMET,10311,3697,,,,,,,,,
K‹TAHYA,GED›Z,22830,10580,,,,,,,,,
K‹TAHYA,H›SARCIK,6477,2148,,,,,,,,,
K‹TAHYA,MERKEZ,109442,49543,,,,,,,,,
K‹TAHYA,PAZARLAR,2674,935,,,,,,,,,
K‹TAHYA,S›MAV,30726,13416,,,,,,,,,
K‹TAHYA,ﬁAPHANE,3032,1348,,,,,,,,,
K‹TAHYA,TAVﬁANLI,50278,19686,,,,,,,,,
MALATYA,,323654,141553,,,,,,,,,
MALATYA,AK«ADA–,10106,7326,,,,,,,,,
MALATYA,ARAPG›R,3681,2783,,,,,,,,,
MALATYA,ARGUVAN,1142,4165,,,,,,,,,
MALATYA,BATTALGAZ›,134206,42487,,,,,,,,,
MALATYA,DARENDE,12261,2862,,,,,,,,,
MALATYA,DO–ANﬁEH›R,13582,10585,,,,,,,,,
MALATYA,DO–ANYOL,1855,381,,,,,,,,,
MALATYA,HEK›MHAN,4779,6929,,,,,,,,,
MALATYA,KALE,3721,329,,,,,,,,,
MALATYA,KULUNCAK,3094,1530,,,,,,,,,
MALATYA,P‹T‹RGE,8043,1011,,,,,,,,,
MALATYA,YAZIHAN,5241,2784,,,,,,,,,
MALATYA,YEﬁ›LYURT,121943,58381,,,,,,,,,
MAN›SA,,417386,496622,,,,,,,,,
MAN›SA,AHMETL›,5548,5506,,,,,,,,,
MAN›SA,AKH›SAR,48876,65048,,,,,,,,,
MAN›SA,ALAﬁEH›R,26715,38935,,,,,,,,,
MAN›SA,DEM›RC›,17544,9112,,,,,,,,,
MAN›SA,G÷LMARMARA,3867,6190,,,,,,,,,
MAN›SA,G÷RDES,12533,7578,,,,,,,,,
MAN›SA,KIRKA–A«,16618,9550,,,,,,,,,
MAN›SA,K÷PR‹BAﬁI,4806,4669,,,,,,,,,
MAN›SA,KULA,15888,14626,,,,,,,,,
MAN›SA,SAL›HL›,38741,69187,,,,,,,,,
MAN›SA,SARIG÷L,8233,16831,,,,,,,,,
MAN›SA,SARUHANLI,15209,22001,,,,,,,,,
MAN›SA,SELEND›,8166,5798,,,,,,,,,
MAN›SA,SOMA,37699,33303,,,,,,,,,
MAN›SA,ﬁEHZADELER,48421,59249,,,,,,,,,
MAN›SA,TURGUTLU,45177,54354,,,,,,,,,
MAN›SA,YUNUSEMRE,63345,74685,,,,,,,,,
MARD›N,,149580,215810,,,,,,,,,
MARD›N,ARTUKLU,47071,33879,,,,,,,,,
MARD›N,DARGE«›T,3714,7653,,,,,,,,,
MARD›N,DER›K,7551,21294,,,,,,,,,
MARD›N,KIZILTEPE,32460,80334,,,,,,,,,
MARD›N,MAZIDA–I,4405,11182,,,,,,,,,
MARD›N,M›DYAT,28584,16915,,,,,,,,,
MARD›N,NUSAYB›N,9301,34133,,,,,,,,,
MARD›N,÷MERL›,4376,2811,,,,,,,,,
MARD›N,SAVUR,6016,5915,,,,,,,,,
MARD›N,YEﬁ›LL›,6102,1694,,,,,,,,,
MERS›N,,387350,690009,,,,,,,,,
MERS›N,AKDEN›Z,50166,103123,,,,,,,,,
MERS›N,ANAMUR,16173,26926,,,,,,,,,
MERS›N,AYDINCIK,2971,4162,,,,,,,,,
MERS›N,BOZYAZI,7544,9558,,,,,,,,,
MERS›N,«AMLIYAYLA,2892,2726,,,,,,,,,
MERS›N,ERDEML›,44345,41048,,,,,,,,,
MERS›N,G‹LNAR,7372,9119,,,,,,,,,
MERS›N,MEZ›TL›,31987,79358,,,,,,,,,
MERS›N,MUT,18338,21286,,,,,,,,,
MERS›N,S›L›FKE,27491,49209,,,,,,,,,
MERS›N,TARSUS,70656,127594,,,,,,,,,
MERS›N,TOROSLAR,69603,101385,,,,,,,,,
MERS›N,YEN›ﬁEH›R,37812,114515,,,,,,,,,
MU–LA,,184381,416710,,,,,,,,,
MU–LA,BODRUM,20914,81418,,,,,,,,,
MU–LA,DALAMAN,8905,14954,,,,,,,,,
MU–LA,DAT«A,2915,11245,,,,,,,,,
MU–LA,FETH›YE,33176,60764,,,,,,,,,
MU–LA,KAVAKLIDERE,3859,3410,,,,,,,,,
MU–LA,K÷YCE–›Z,8836,13944,,,,,,,,,
MU–LA,MARMAR›S,13845,41085,,,,,,,,,
MU–LA,MENTEﬁE,20026,51844,,,,,,,,,
MU–LA,M›LAS,26085,65678,,,,,,,,,
MU–LA,ORTACA,9657,21367,,,,,,,,,
MU–LA,SEYD›KEMER,20464,18228,,,,,,,,,
MU–LA,ULA,5587,11694,,,,,,,,,
MU–LA,YATA–AN,10112,21079,,,,,,,,,
MUﬁ,,87314,85370,,,,,,,,,
MUﬁ,BULANIK,8708,22498,,,,,,,,,
MUﬁ,HASK÷Y,12666,1206,,,,,,,,,
MUﬁ,KORKUT,4904,5701,,,,,,,,,
MUﬁ,MALAZG›RT,5738,14421,,,,,,,,,
MUﬁ,MERKEZ,53295,29133,,,,,,,,,
MUﬁ,VARTO,2003,12411,,,,,,,,,
NEVﬁEH›R,,117548,61663,,,,,,,,,
NEVﬁEH›R,ACIG÷L,10337,1149,,,,,,,,,
NEVﬁEH›R,AVANOS,10864,9789,,,,,,,,,
NEVﬁEH›R,DER›NKUYU,8015,4056,,,,,,,,,
NEVﬁEH›R,G‹LﬁEH›R,9185,4452,,,,,,,,,
NEVﬁEH›R,HACIBEKTAﬁ,2596,5135,,,,,,,,,
NEVﬁEH›R,KOZAKLI,4756,4193,,,,,,,,,
NEVﬁEH›R,MERKEZ,58046,23508,,,,,,,,,
NEVﬁEH›R,‹RG‹P,13749,9381,,,,,,,,,
N›–DE,,118141,79427,,,,,,,,,
N›–DE,ALTUNH›SAR,5063,1713,,,,,,,,,
N›–DE,BOR,22793,14554,,,,,,,,,
N›–DE,«AMARDI,5380,2112,,,,,,,,,
N›–DE,«›FTL›K,7869,5103,,,,,,,,,
N›–DE,MERKEZ,70457,49627,,,,,,,,,
N›–DE,ULUKIﬁLA,6579,6318,,,,,,,,,
ORDU,,275328,169544,,,,,,,,,
ORDU,AKKUﬁ,9703,3301,,,,,,,,,
ORDU,ALTINORDU,62338,65254,,,,,,,,,
ORDU,AYBASTI,9490,3132,,,,,,,,,
ORDU,«AMAﬁ,3673,1760,,,,,,,,,
ORDU,«ATALPINAR,7153,1022,,,,,,,,,
ORDU,«AYBAﬁI,6420,1324,,,,,,,,,
ORDU,FATSA,39567,27300,,,,,,,,,
ORDU,G÷LK÷Y,10135,7073,,,,,,,,,
ORDU,G‹LYALI,2871,2760,,,,,,,,,
ORDU,G‹RGENTEPE,4951,4316,,,,,,,,,
ORDU,›K›ZCE,6497,2576,,,,,,,,,
ORDU,KABAD‹Z,3667,1768,,,,,,,,,
ORDU,KABATAﬁ,4762,1721,,,,,,,,,
ORDU,KORGAN,13876,2991,,,,,,,,,
ORDU,KUMRU,15439,2684,,,,,,,,,
ORDU,MESUD›YE,5391,2433,,,,,,,,,
ORDU,PERﬁEMBE,9642,11162,,,,,,,,,
ORDU,ULUBEY,7568,4724,,,,,,,,,
ORDU,‹NYE,52185,22243,,,,,,,,,
OSMAN›YE,,169918,123860,,,,,,,,,
OSMAN›YE,BAH«E,9045,3645,,,,,,,,,
OSMAN›YE,D‹Z›«›,24945,19174,,,,,,,,,
OSMAN›YE,HASANBEYL›,1572,1019,,,,,,,,,
OSMAN›YE,KAD›RL›,39895,34145,,,,,,,,,
OSMAN›YE,MERKEZ,85052,55865,,,,,,,,,
OSMAN›YE,SUMBAS,4359,4590,,,,,,,,,
OSMAN›YE,TOPRAKKALE,5050,5422,,,,,,,,,
R›ZE,,155028,50158,,,,,,,,,
R›ZE,ARDEﬁEN,16989,7685,,,,,,,,,
R›ZE,«AMLIHEMﬁ›N,3098,992,,,,,,,,,
R›ZE,«AYEL›,22109,4392,,,,,,,,,
R›ZE,DEREPAZARI,4044,826,,,,,,,,,
R›ZE,FINDIKLI,4709,5414,,,,,,,,,
R›ZE,G‹NEYSU,8408,944,,,,,,,,,
R›ZE,HEMﬁ›N,930,498,,,,,,,,,
R›ZE,›K›ZDERE,3030,407,,,,,,,,,
R›ZE,›Y›DERE,4740,773,,,,,,,,,
R›ZE,KALKANDERE,5823,1430,,,,,,,,,
R›ZE,MERKEZ,68826,19707,,,,,,,,,
R›ZE,PAZAR,12322,7090,,,,,,,,,
SAKARYA,,413091,193910,,,,,,,,,
SAKARYA,ADAPAZARI,105146,62236,,,,,,,,,
SAKARYA,AKYAZI,44600,11263,,,,,,,,,
SAKARYA,AR›F›YE,18547,7091,,,,,,,,,
SAKARYA,ERENLER,38725,13470,,,,,,,,,
SAKARYA,FER›ZL›,11513,5216,,,,,,,,,
SAKARYA,GEYVE,21516,9351,,,,,,,,,
SAKARYA,HENDEK,35123,14676,,,,,,,,,
SAKARYA,KARAP‹R«EK,6145,1637,,,,,,,,,
SAKARYA,KARASU,26180,11870,,,,,,,,,
SAKARYA,KAYNARCA,12367,3284,,,,,,,,,
SAKARYA,KOCAAL›,9911,3960,,,,,,,,,
SAKARYA,PAMUKOVA,12690,5867,,,,,,,,,
SAKARYA,SAPANCA,15883,10080,,,,,,,,,
SAKARYA,SERD›VAN,45096,29343,,,,,,,,,
SAKARYA,S÷–‹TL‹,6187,3449,,,,,,,,,
SAKARYA,TARAKLI,3462,1117,,,,,,,,,
SAMSUN,,507303,290932,,,,,,,,,
SAMSUN,ALA«AM,9468,7312,,,,,,,,,
SAMSUN,ASARCIK,8000,1410,,,,,,,,,
SAMSUN,ATAKUM,50070,57728,,,,,,,,,
SAMSUN,AYVACIK,10362,1555,,,,,,,,,
SAMSUN,BAFRA,57103,33841,,,,,,,,,
SAMSUN,CAN›K,42170,16427,,,,,,,,,
SAMSUN,«ARﬁAMBA,61561,22430,,,,,,,,,
SAMSUN,HAVZA,17605,7791,,,,,,,,,
SAMSUN,›LKADIM,113398,89553,,,,,,,,,
SAMSUN,KAVAK,9157,4066,,,,,,,,,
SAMSUN,LAD›K,7324,3725,,,,,,,,,
SAMSUN,ONDOKUZMAYIS,11990,3871,,,,,,,,,
SAMSUN,SALIPAZARI,9384,2583,,,,,,,,,
SAMSUN,TEKKEK÷Y,20474,11528,,,,,,,,,
SAMSUN,TERME,33817,12311,,,,,,,,,
SAMSUN,VEZ›RK÷PR‹,42258,12539,,,,,,,,,
SAMSUN,YAKAKENT,3162,2262,,,,,,,,,
S››RT,,68121,74365,,,,,,,,,
S››RT,BAYKAN,5720,5065,,,,,,,,,
S››RT,ERUH,3391,5060,,,,,,,,,
S››RT,KURTALAN,9465,16295,,,,,,,,,
S››RT,MERKEZ,32542,41524,,,,,,,,,
S››RT,PERVAR›,7649,4317,,,,,,,,,
S››RT,ﬁ›RVAN,7503,1802,,,,,,,,,
S››RT,T›LLO,1851,302,,,,,,,,,
S›NOP,,73324,53651,,,,,,,,,
S›NOP,AYANCIK,7794,6351,,,,,,,,,
S›NOP,BOYABAT,18243,7995,,,,,,,,,
S›NOP,D›KMEN,2465,678,,,,,,,,,
S›NOP,DURA–AN,8565,1750,,,,,,,,,
S›NOP,ERFELEK,4111,3215,,,,,,,,,
S›NOP,GERZE,8522,6666,,,,,,,,,
S›NOP,MERKEZ,14565,24419,,,,,,,,,
S›NOP,SARAYD‹Z‹,2581,727,,,,,,,,,
S›NOP,T‹RKEL›,6478,1850,,,,,,,,,
S›VAS,,262449,105732,,,,,,,,,
S›VAS,AKINCILAR,2240,652,,,,,,,,,
S›VAS,ALTINYAYLA,4629,728,,,,,,,,,
S›VAS,D›VR›–›,3143,7751,,,,,,,,,
S›VAS,DO–ANﬁAR,1668,172,,,,,,,,,
S›VAS,GEMEREK,7952,6011,,,,,,,,,
S›VAS,G÷LOVA,1422,276,,,,,,,,,
S›VAS,G‹R‹N,7210,3789,,,,,,,,,
S›VAS,HAF›K,3425,2293,,,,,,,,,
S›VAS,›MRANLI,1614,2752,,,,,,,,,
S›VAS,KANGAL,7641,5291,,,,,,,,,
